模块名,接口描述,Scheme,接口地址,接口参数,请求方式,请求头,响应结果（非必填）,校验字段,校验方式,预期结果
被服管理,被服台账-台账列表,http,/ilogclothing/rest/v1/ledger/page,"{""pageNumber"":0,""pageSize"":20,""total"":26,""filterKey"":"""",""departId"":"""",""startTime"":"""",""endTime"":"""",""typeId"":"""",""sorts"":[{""property"":""lastModifiedDate"",""asc"":false,""nullHandling"":true}]}",POST,{'content-type': 'application/json'},,msg,等于,success
被服管理,被服台账-台账列表筛选,http,/ilogclothing/rest/v1/ledger/page,"{""pageNumber"":0,""pageSize"":20,""total"":26,""filterKey"":""${code}"",""departId"":"""",""startTime"":"""",""endTime"":"""",""typeId"":"""",""sorts"":[{""property"":""lastModifiedDate"",""asc"":false,""nullHandling"":true}]}",POST,{'content-type': 'application/json'},,msg,等于,success
被服管理,被服台账-台账详情,http,/ilogclothing/rest/v1/clothing/pc/resumes/page,"{""pageNumber"":0,""pageSize"":20,""total"":0,""clothingId"":""${clothingid}""}",POST,{'content-type': 'application/json'},,msg,等于,success
被服管理,被服统计-被服状态数量统计,http,/ilogclothing/rest/v1/statistics/pc/status/count,"{""departId"":"""",""typeId"":""""}",POST,{'content-type': 'application/json'},,msg,等于,success
被服管理,被服统计-今日概况,http,/ilogclothing/rest/v1/statistics/pc/today/overall,"{""departId"":"""",""typeId"":""""}",POST,{'content-type': 'application/json'},,msg,等于,success
被服管理,被服统计-被服状态占比,http,/ilogclothing/rest/v1/statistics/pc/status/percentage,"{""departId"":"""",""typeId"":""""}",POST,{'content-type': 'application/json'},,msg,等于,success
被服管理,被服统计-被服类型占比,http,/ilogclothing/rest/v1/statistics/pc/type/percentage,"{""departId"":"""",""typeId"":""""}",POST,{'content-type': 'application/json'},,msg,等于,success
被服管理,被服统计-被服评分,http,/ilogclothing/rest/v1/statistics/pc/comment,"{""departId"":"""",""typeId"":"""",""dateType"":""RECENTLY_WEEK""}",POST,{'content-type': 'application/json'},,msg,等于,success
被服管理,被服统计-被服数据图表,http,/ilogclothing/rest/v1/statistics/pc/order/statistics,"{""operationType"":""${operationtype}"",""dateType"":""RECENTLY_WEEK"",""departId"":"""",""typeId"":""""}",POST,{'content-type': 'application/json'},,msg,等于,success
被服管理,清洗设置-新增所属科室,http,/ilogclothing/rest/v1/clothing/cleanSetting/createCleanSetting,"{""cleanSettingVOS"":[{""typeId"":""${id}"",""nickName"":""${nickname}""}],""cleanSettingType"":""DEPARTMENT""}",POST,{'content-type': 'application/json'},,msg,等于,success
被服管理,清洗设置-所属科室列表,http,/sysmgt/rest/v1/depart/tree,,GET,{'content-type': 'application/json'},,msg,等于,success
被服管理,清洗设置-被服类型列表,http,/sysmgt/rest/v1/dict/dictionary/list/material-classify,,GET,{'content-type': 'application/json'},,msg,等于,success
被服管理,清洗设置-新增被服类型,http,/ilogclothing/rest/v1/clothing/cleanSetting/createCleanSetting,"{""cleanSettingVOS"":[{""typeId"":""${id}"",""nickName"":""${nickname}"",""code"":""${code}""}],""cleanSettingType"":""CLOTHING""}",POST,{'content-type': 'application/json'},,msg,等于,success
被服管理,清洗设置-新增所属人,http,/ilogclothing/rest/v1/clothing/cleanSetting/createCleanSetting,"{""cleanSettingVOS"":[{""typeId"":""${user_id}"",""nickName"":""${user_name}"",""code"":""${user_phone}""}],""cleanSettingType"":""PERSON""}",POST,{'content-type': 'application/json'},,msg,等于,success
被服管理,清洗设置-清洗人员添加,http,/ilogclothing/rest/v1/clothing/cleanSetting/createCleanPerson,"{""cleanPersonList"":[{""id"":"""",""nickName"":""${user_name}"",""cleanPersonId"":""${user_id}"",""cleanPersonPhone"":""${user_phone}""}]}",POST,{'content-type': 'application/json'},,msg,等于,success
被服管理,清洗设置-清洗人员列表,http,/ilogclothing/rest/v1/clothing/cleanSetting/queryCleanPersonPage,"{""filterKey"":""""}",POST,{'content-type': 'application/json'},,msg,等于,success
被服管理,清洗设置-清洗人员删除,http,/ilogclothing/rest/v1/clothing/cleanSetting/deleteCleanPerson/${id},,DELETE,{'content-type': 'application/json'},,msg,等于,success
被服管理,被服清洁-清洁列表,http,/ilogclothing/rest/v1/clothing/pc/order/page,"{""pageNumber"":0,""pageSize"":20,""filterKey"":"""",""status"":[""${status}""],""sorts"":[{""property"":""lastModifiedDate"",""asc"":false,""nullHandling"":true}]}",POST,{'content-type': 'application/json'},,msg,等于,success
被服管理,被服清洁-清洁列表筛选,http,/ilogclothing/rest/v1/clothing/pc/order/page,"{""pageNumber"":0,""pageSize"":20,""filterKey"":""${code}"",""status"":[""PENDING_DIST""],""sorts"":[{""property"":""lastModifiedDate"",""asc"":false,""nullHandling"":true}]}",POST,{'content-type': 'application/json'},,msg,等于,success
,,,,,,,,,,
,,,,,,,,,,
被服管理,被服回收-回收补录,http,/ilogclothing/rest/v1/clothing/pc/recycling/additional/recording,"{""operator"":""${yr_id}"",""recipient"":""${yr_id}"",""operatorTime"":""${date_time}"",""clothes"":[{""id"":""${clothing_id}"",""rfid"":null}]}",POST,{'content-type': 'application/json'},,data,等于,TRUE
被服管理,被服回收-被服回收列表,http,/ilogclothing/rest/v1/clothing/pc/recycling/page,"{""pageNumber"":0,""pageSize"":20}",POST,{'content-type': 'application/json'},,msg,等于,success
被服管理,被服回收-被服回收详情,http,/ilogclothing/rest/v1/clothing/pc/recycling/${id},,GET,{'content-type': 'application/json'},,msg,等于,success
被服管理,被服回收-被服回收筛选,http,/ilogclothing/rest/v1/clothing/pc/recycling/page,"{""filterKey"":""${orderNo}"",""pageNumber"":0,""pageSize"":20}",POST,{'content-type': 'application/json'},,msg,等于,success
被服管理,被服回收-回收明细列表,http,/ilogclothing/rest/v1/clothing/pc/recycling/detail/page,"{""filterKey"":"""",""pageNumber"":0,""pageSize"":20}",POST,{'content-type': 'application/json'},,msg,等于,success
被服管理,被服回收-回收明细列表查询,http,/ilogclothing/rest/v1/clothing/pc/recycling/detail/page,"{""filterKey"":""${code}"",""pageNumber"":0,""pageSize"":20}",POST,{'content-type': 'application/json'},,msg,等于,success
被服管理,被服发放-查询可发放的被服,http,/ilogclothing/rest/v1/clothing/pc/order/page,"{""filterKey"":"""",""typeId"":"""",""departId"":"""",""status"":[""PENDING_DIST""],""pageSize"":20,""pageNumber"":0}",POST,{'content-type': 'application/json'},,msg,等于,success
被服管理,被服发放-发放补录,http,/ilogclothing/rest/v1/clothing/pc/grant/additional/recording,"{""operator"":""${yr_id}"",""recipient"":""${yr_id}"",""operatorTime"":""${date_time}"",""clothes"":[{""id"":""${clothing_id}"",""rfid"":null}]}",POST,{'content-type': 'application/json'},,msg,等于,success
被服管理,被服发放-被服发放列表,http,/ilogclothing/rest/v1/clothing/pc/grant/page,"{""pageNumber"":0,""pageSize"":20}",POST,{'content-type': 'application/json'},,msg,等于,success
被服管理,被服发放-被服发放详情,http,/ilogclothing/rest/v1/clothing/pc/grant/${id},,GET,{'content-type': 'application/json'},,msg,等于,success
被服管理,被服发放-被服发放筛选,http,/ilogclothing/rest/v1/clothing/pc/grant/page,"{""filterKey"":""${orderNo}"",""pageNumber"":0,""pageSize"":20}",POST,{'content-type': 'application/json'},,msg,等于,success
被服管理,被服发放-发放明细列表,http,/ilogclothing/rest/v1/clothing/pc/grant/detail/page,"{""filterKey"":"""",""pageNumber"":0,""pageSize"":20}",POST,{'content-type': 'application/json'},,msg,等于,success
被服管理,被服发放-发放明细列表查询,http,/ilogclothing/rest/v1/clothing/pc/grant/detail/page,"{""filterKey"":""${code}"",""pageNumber"":0,""pageSize"":20}",POST,{'content-type': 'application/json'},,msg,等于,success
被服管理,被服送洗-查询可送洗的被服,http,/ilogclothing/rest/v1/clothing/pc/order/page,"{""filterKey"":"""",""typeId"":"""",""departId"":"""",""status"":[""PENDING_WASH""],""pageSize"":20,""pageNumber"":0}",POST,{'content-type': 'application/json'},,msg,等于,success
被服管理,被服送洗-送洗补录,http,/ilogclothing/rest/v1/clothing/pc/sendWash/create,"{""operator"":""${yr_id}"",""recipient"":""${yr_id}"",""operatorTime"":""${date_time}"",""clothes"":[{""id"":""${clothing_id}"",""rfid"":null}]}",POST,{'content-type': 'application/json'},,msg,等于,success
被服管理,被服送洗-被服送洗列表,http,/ilogclothing/rest/v1/clothing/pc/sendWash/querySendWashPage,"{""pageNumber"":0,""pageSize"":20}",POST,{'content-type': 'application/json'},,msg,等于,success
被服管理,被服送洗-被服送洗详情,http,/ilogclothing/rest/v1/clothing/pc/sendWash/querySendWashInfo/${id},,GET,{'content-type': 'application/json'},,msg,等于,success
被服管理,被服送洗-被服送洗筛选,http,/ilogclothing/rest/v1/clothing/pc/sendWash/querySendWashPage,"{""filterKey"":""${orderNo}"",""pageNumber"":0,""pageSize"":20}",POST,{'content-type': 'application/json'},,msg,等于,success
被服管理,被服送洗-送洗明细列表,http,/ilogclothing/rest/v1/clothing/pc/sendWash/querySendWashDetailPage,"{""filterKey"":"""",""pageNumber"":0,""pageSize"":20}",POST,{'content-type': 'application/json'},,msg,等于,success
